idnum,href,full_link,name
583,/wiki/Costa_Crosiere,https://en.wikipedia.org/wiki/Costa_Crosiere,COSTA CROSIERE
584,/wiki/MS_Eurodam,https://en.wikipedia.org/wiki/MS_Eurodam,MS EURODAM
586,/wiki/MS_Europa_(1999),https://en.wikipedia.org/wiki/MS_Europa_(1999),MS EUROPA (1999)
588,/wiki/MV_Explorer_(1969),https://en.wikipedia.org/wiki/MV_Explorer_(1969),MV EXPLORER (1969)
589,/wiki/G_Adventures,https://en.wikipedia.org/wiki/G_Adventures,G ADVENTURES
591,/wiki/Explorer_Dream,https://en.wikipedia.org/wiki/Explorer_Dream,EXPLORER DREAM
593,/wiki/Explorer_of_the_Seas,https://en.wikipedia.org/wiki/Explorer_of_the_Seas,EXPLORER OF THE SEAS
595,/wiki/Exploris_One,https://en.wikipedia.org/wiki/Exploris_One,EXPLORIS ONE
596,/wiki/Exploris,https://en.wikipedia.org/wiki/Exploris,EXPLORIS
597,/wiki/RMS_Carinthia_(1955),https://en.wikipedia.org/wiki/RMS_Carinthia_(1955),RMS CARINTHIA (1955)
599,/wiki/RMS_Carinthia_(1955),https://en.wikipedia.org/wiki/RMS_Carinthia_(1955),RMS CARINTHIA (1955)
